id,name,total_heat,total_area,total_nmhc,total_pm2.5,total_pm10,total_co,total_co2,total_ch4,total_nh3,total_so2,total_voc,total_nox
SF11E331703,,27789596.790959,19.05429593,,0.623755,0.73603,7.528066,70.398399,0.361366,0.122907,0.046372,1.766789,0.069359
SF11E331697,,39101780.854443,19.05429593,,0.811586,0.957671,9.727176,95.093958,0.468505,0.158955,0.062189,2.284979,0.097046
SF11E328398,,3027898209726.4644,47761.44727647005,,4386.835128,5176.465446,47998.96662099999,750072.2637499999,2419.048001000001,794.1725720000001,461.235556,11416.230669000002,983.6767849999997
SF11E329989,,28309491210.47435,2128.3606545000002,,36.939723,43.588873,389.31493800000004,7082.372907,20.001849,6.476322999999999,4.289936,93.09714500000001,9.773554
SF11E320494,,81613598950.30208,1287.507993,,102.499955,120.949947,1088.091516,19248.709584,55.694608,18.081541,11.689924,259.922158,26.335014
SF11E332197,,27024298999.231133,1121.8781979199998,,27.907581,32.930946999999996,278.196752,6171.7462430000005,14.716946,4.666638,3.676083,67.08291100000001,8.980742999999999
SF11E329262,,12231298800.187584,287.3267239,,28.269731,33.358282,281.535861,6265.805209,14.901216,4.723347,3.731189,67.898115,9.124453
SF11E332234,,296214636.169332,53.7330651,,1.040389,1.227659,10.426781,227.211698,0.550023,0.174762,0.135523,2.512199,0.329219
SF11E317850,,643175911571.064,7318.9475621,,782.016433,922.7793899999999,8327.26289,145529.577818,425.555451,138.317435,88.484249,1988.313133,198.34005399999998
SF11E332214,,2742865627.1702957,419.3526579,,8.754275,10.330044,99.330087,1314.10136,4.915137,1.635164,0.823608,23.50548,1.607621
SF11E332248,,11790897.729962999,27.9525607,,0.154723,0.182574,1.841094,18.816002,0.088988,0.030114,0.01222,0.432896,0.019837
SF11E332228,,181310436.24087,128.4305507,,0.688495,0.812424,7.241522,132.759541,0.372438,0.1205,0.080358,1.732183,0.183633
SF11E332318,,73972049.193805,55.905121394999995,,0.377047,0.444916,4.058824,67.90581,0.206266,0.067312,0.041464,0.9676119999999999,0.09123200000000001
SF11E328177,,24613921.218912005,48.91698122,,0.220007,0.25960799999999995,2.4711730000000003,34.320766,0.122901,0.040736999999999995,0.021384999999999998,0.585595,0.042921
SF11E332187,,13204288.582269,27.9525607,,0.142083,0.167658,1.654135,19.162861,0.080813,0.027135,0.01222,0.390069,0.021881
SF11E330613,,7824722.104637,20.96442052,,0.101932,0.12028,1.172127,14.499147,0.057616,0.01926,0.009165,0.276866,0.017159
SF11E332305,,,37.11028612,,,,,,,,,,
SF11E332181,,875592173.850316,156.5906799,,6.601402,7.789655,77.815477,840.763233,3.7785,1.274403,0.541491,18.319547,0.920204
SF11E330532,,134139528.65746799,123.7948538,,0.402028,0.474393,3.965058,91.102449,0.210954,0.066622,0.054119,0.957688,0.133641
SF11E321181,,281939848.88021606,352.3846286,,3.583004,4.227945,45.140657,306.560758,2.122749,0.732954,0.214538,10.536217,0.208157
SF11E332183,,,50.26864766,,,,,,,,,,
SF11E332261,,77754688.06974399,50.26864766,,1.271219,1.500039,15.761948,121.837775,0.746856,0.256445,0.083043,3.6864,0.099277
SF11E332240,,,50.26864766,,,,,,,,,,
SF11E328061,,583745629.3356178,79.20962988,,2.487213,2.934911,26.594327,457.220231,1.356191,0.441473,0.278438,6.346178,0.619857
SF11E332173,,2681682452.0177913,159.672084,,10.621926,12.533872,113.520208,1955.390033,5.790436,1.884597,1.190572,27.091077,2.652574
SF11E332331,,4462010994.26248,123.7948538,,13.378157,15.786226,131.943914,3031.585996,7.019857,2.216952,1.800906,31.868682,4.447135
SF11E332290,,841310019.9666029,210.1557134,,2.632919,3.106844,27.170957,534.596409,1.411349,0.453401,0.321556,6.517639,0.754564
SF11E332284,,250854035.93187898,70.05190446,,0.796236,0.939558,7.852983,180.43267,0.417805,0.131948,0.107186,1.896747,0.264683
SF11E332172,,154660508.401242,38.53855522,,2.188422,2.582338,26.719117,231.155549,1.275443,0.435577,0.154305,6.261416,0.212547
SF11E332279,,267633002.703744,74.13408535,,0.842635,0.994309,8.310605,190.947142,0.442152,0.139637,0.113432,2.007277,0.280107
SF11E332220,,250854035.93187898,70.05190446,,0.796236,0.939558,7.852983,180.43267,0.417805,0.131948,0.107186,1.896747,0.264683
SF11E331633,,237631791.38999,38.53855522,,3.617528,4.268683,44.396467,370.30401,2.114014,0.723273,0.248817,10.397046,0.328392
SF11E332319,,574232884.255078,77.07711044,,7.200131,8.496154,88.182697,746.396005,4.203124,1.436984,0.500193,20.656644,0.671823
SF11E332211,,5993850.049704,8.302740802,,0.094372,0.111359,0.930757,21.385367,0.049519,0.015639,0.012704,0.224808,0.031371
SF11E324851,,98688606.10552399,83.90463212,,0.448896,0.529697,4.873438,78.722584,0.246591,0.080724,0.048241,1.160402,0.104488
SF11E332285,,367410290.79545295,95.66190615,,1.26258,1.489844,12.900207,263.021499,0.673593,0.215587,0.157729,3.099061,0.3748
SF11E332223,,52585135.197799996,27.9525607,,0.262815,0.310122,2.64413,56.870945,0.139195,0.044292,0.033956,0.636694,0.082143
SF11E332264,,48068424.50452,62.89326157,,0.289576,0.3417,3.276464,43.94266,0.162356,0.053958,0.027495,0.775642,0.0541
SF11E330666,,24208710.386373,34.94070087,,0.146602,0.17299,1.60914,24.804205,0.080967,0.026612,0.015275,0.382552,0.032363
SF11E330625,,4914145267.387725,560.4152357,,6.369885,7.516464,62.823862,1443.461358,3.342439,1.055581,0.857484,15.173975,2.117462
SF11E325474,,30275921082.8024,900.36057936,,55.951209,66.02242600000001,626.440639,8832.279136000001,31.205997,10.331434,5.493611,148.514351,11.117823
SF11E332309,,2853478599.941034,420.3114268,,4.777413,5.637348,47.117897,1082.596018,2.50683,0.791686,0.643113,11.380481,1.588096
SF11E332179,,606186071.6078751,185.0819304,,7.118396,8.399707,87.461508,723.495532,4.162338,1.424645,0.48687,20.479276,0.636136
SF11E332204,,54218071.00489201,40.42891139,,0.933477,1.101503,11.562916,90.051832,0.548148,0.188151,0.06129,2.704669,0.074037
SF11E330683,,45730.35302600001,0.943942555,,0.006333,0.007473,0.062462,1.43514,0.003323,0.001049,0.000853,0.015087,0.002105
SF11E322869,,236999580.04330102,255.0226374,,3.118614,3.679965,38.92368,285.713719,1.838553,0.632755,0.19674,9.095849,0.217909
SF11E331722,,536704204.13283813,140.1038089,,1.592471,1.879116,15.705966,360.865339,0.83561,0.263895,0.214371,3.793494,0.529365
SF11E332308,,464404038.30418897,129.4782775,,1.458313,1.720809,14.599246,319.306131,0.770571,0.244737,0.190399,3.518089,0.463068
SF11E331623,,11897236102.499733,634.2923314,,18.196091,21.471388,192.23349,3464.913468,9.864106,3.196715,2.100572,45.952775,4.768086
SF11E332272,,225836940333.4774,1129.293831,,220.1202,259.741836,2170.96571,49880.809642,115.502632,36.477062,29.631565,524.357763,73.171825
SF11E332330,,25973604078.828514,953.6735653000001,,60.825962,71.774635,677.985968,9758.173809,33.849734,11.188486000000001,6.055106,160.834492,12.390609999999999
SF11E332316,,1531170679.899119,187.7086606,,4.243898,5.0078,41.856031,961.697703,2.226881,0.703275,0.571294,10.109572,1.410746
SF11E332249,,684749075.59492,87.32457059,,5.087516,6.003269,59.543166,669.968619,2.901413,0.976083,0.428978,14.031192,0.751994
SF11E332189,,1216531999.5849264,87.32457059,,6.681583,7.884268,75.073477,1041.062928,3.733123,1.237525,0.648792,17.789419,1.301081
SF11E330580,,210765012.046434,174.6491412,,3.162892,3.732212,39.385329,294.460891,1.862405,0.640446,0.202019,9.206418,0.230126
SF11E329270,,35803527.65361401,114.8867048,,0.733418,0.865434,9.243723,62.559561,0.434605,0.150084,0.043813,2.157455,0.042236
SF11E332207,,,9.577804568,,,,,,,,,,
SF11E332231,,,50.26864766,,,,,,,,,,
SF11E332209,,,63.94345944,,,,,,,,,,
SF11E332215,,,63.94345944,,,,,,,,,,
SF11E332322,,,50.26864766,,,,,,,,,,
SF11E332267,,,4.788902284,,,,,,,,,,
SF11E332307,,,9.577804568,,,,,,,,,,
SF11E332300,,,4.788902284,,,,,,,,,,
SF11E332169,,,33.52231599,,,,,,,,,,
SF11E332325,,2236364612.571171,144.6876137,,9.914588,11.699214,108.002926,1719.888724,5.455393,1.788097,1.055499,25.703901,2.271161
SF11E332298,,3073661696.8020096,379.0794229,,20.484579,24.171803,249.422319,2198.786244,11.921867,4.067529,1.462947,58.470725,2.057743
